year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,3137,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,5,2,2,0,0,43.0,3,1,5,2
2018,3138,EAST,KIREHE,EASTERN SEMI-ARID AGROPASTORAL ZONE,7,7,0,7,7,2,7,7,79.0,3,2,6,2
2018,3139,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,0,5,7,2,0,7,49.0,3,1,5,2
2018,3140,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,2,7,7,2,0,4,57.5,3,1,6,2
2018,3141,WEST,RUSIZI,LAKE KIVU COFFEE ZONE,7,2,0,7,0,0,0,7,30.5,2,3,3,1
2018,3142,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,1,4,7,3,0,7,53.0,3,2,6,2
2018,3143,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,4,7,4,7,5,7,3,7,77.0,3,1,7,3
2018,3144,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,4,7,0,5,7,0,0,0,37.5,3,1,4,1
2018,3145,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,7,0,7,2,0,0,2,38.0,3,1,4,1
2018,3146,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,4,4,0,7,0,0,1,1,31.5,2,3,4,1
2018,3147,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,3,1,0,0,0,38.5,3,1,4,1
2018,3148,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,7,6,7,7,83.0,3,1,6,2
2018,3149,NORTH,GICUMBI,EASTERN PLATEAU MIXED AGRICULTURE ZONE,7,7,2,7,7,7,2,3,70.0,3,1,7,3
2018,3150,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,7,7,4,3,7,65.0,3,1,6,2
2018,3151,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,5,2,7,7,2,2,7,61.0,3,1,7,3
2018,3152,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,3,7,7,3,3,7,76.0,3,1,7,3
2018,3153,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,6,1,7,7,5,4,7,71.0,3,1,7,3
2018,3154,WEST,RUSIZI,LAKE KIVU COFFEE ZONE,7,3,2,7,7,4,0,7,49.0,3,1,6,2
2018,3155,WEST,RUTSIRO,LAKE KIVU COFFEE ZONE,7,7,3,7,4,4,7,7,91.5,3,1,7,3
2018,3156,SOUTH,MUHANGA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,3,7,7,4,3,7,77.0,3,1,7,3
2018,3157,WEST,RUTSIRO,LAKE KIVU COFFEE ZONE,7,7,0,4,4,1,2,7,53.5,3,1,6,2
2018,3158,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,7,5,2,7,5,77.0,3,1,6,2
2018,3159,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,1,7,3,0,0,0,47.5,3,1,5,2
2018,3160,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,7,7,7,7,7,7,112.0,3,1,7,3
2018,3161,WEST,NYABIHU,WEST CONGO-NILE CREST TEA ZONE,7,7,0,3,0,0,0,0,38.0,3,1,3,1
2018,3162,NORTH,GAKENKE,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,7,3,0,0,0,43.5,3,1,4,1
2018,3163,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,4,1,0,0,0,39.5,3,1,4,1
2018,3164,SOUTH,KAMONYI,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,1,2,0,0,0,37.0,3,1,4,1
2018,3165,SOUTH,NYANZA,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,0,7,2,0,0,40.5,3,1,4,1
2018,3166,WEST,NYABIHU,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,3,1,0,0,44.5,3,1,5,2
2018,3167,WEST,RUTSIRO,LAKE KIVU COFFEE ZONE,7,3,0,7,2,0,0,1,31.5,2,3,4,1
2018,3168,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,0,0,0,2,43.0,3,1,3,1
2018,3169,NORTH,GAKENKE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,3,3,0,2,47.5,3,1,5,2
2018,3170,NORTH,GICUMBI,EASTERN PLATEAU MIXED AGRICULTURE ZONE,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3171,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,3,0,7,0,71.5,3,1,5,2
2018,3172,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,4,4,0,0,2,42.0,3,1,4,1
2018,3173,WEST,NYAMASHEKE,LAKE KIVU COFFEE ZONE,7,7,1,7,7,3,0,4,54.5,3,2,6,2
2018,3174,SOUTH,HUYE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3175,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,6,5,0,7,3,73.0,3,2,5,2
2018,3176,SOUTH,RUHANGO,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,7,7,3,0,5,51.0,3,1,5,2
2018,3177,SOUTH,NYARUGURU,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,7,0,1,6,0,0,0,39.0,3,1,4,1
2018,3178,EAST,NYAGATARE,EASTERN PLATEAU MIXED AGRICULTURE ZONE,7,7,0,7,2,2,0,0,45.0,3,2,5,2
2018,3179,NORTH,BURERA,NORTHERN HIGHLAND BEANS AND WHEAT ZONE,7,7,0,3,7,0,0,0,41.5,3,2,4,1
2018,3180,NORTH,MUSANZE,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,3,0,7,3,0,0,0,31.5,2,2,4,1
2018,3181,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,1,7,7,0,0,0,49.5,3,1,5,2
2018,3182,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,7,2,0,0,0,43.0,3,2,4,1
2018,3183,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,3,0,0,0,43.5,3,2,4,1
2018,3184,SOUTH,NYAMAGABE,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,7,7,0,1,7,0,0,7,43.0,3,1,4,1
2018,3185,NORTH,GICUMBI,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",7,7,0,1,0,0,0,1,36.5,3,2,3,1
2018,3186,EAST,BUGESERA,BUGESERA CASSAVA ZONE,7,5,0,0,3,0,0,1,31.0,2,3,3,1
2018,3187,SOUTH,NYARUGURU,CENTRAL PLATEAU CASSAVA AND COFFEE ZONE,7,6,0,7,0,0,0,0,39.0,3,2,3,1
2018,3188,NORTH,RULINDO,"CENTRAL-NORTHERN HIGHLAND IRISH POTATO, BEANS AND VEGETABLE",4,6,0,7,5,0,1,3,41.0,3,1,5,2
2018,3189,WEST,NGORORERO,EAST CONGO-NILE HIGHLAND SUBSISTENCE FARMING ZONE,5,3,0,4,3,2,2,0,34.5,2,2,6,2
2018,3190,KIGALI,KICUKIRO,KIGALI CITY,6,7,0,5,7,0,2,2,50.5,3,2,5,2
2018,3191,WEST,NYABIHU,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,7,2,2,0,0,45.0,3,1,5,2
2018,3192,NORTH,BURERA,NORTHWEST VOLCANIC IRISH POTATO ZONE,7,7,0,1,2,1,0,0,38.0,3,2,5,2
